lat,lng,cleanRent,cleanBeds,listingDate
47.62205,-122.33091,1836.0,0.0,2016-10-21
47.61885,-122.35293,3695.0,2.0,2016-10-21
47.66745,-122.3502,1817.0,1.0,2016-10-21
47.72116,-122.294,2100.0,2.0,2016-10-21
47.61171,-122.30877,2250.0,2.0,2016-10-21
47.5412,-122.275,2800.0,3.0,2016-10-21
47.62521,-122.32669,1895.0,1.0,2016-10-21
47.61022,-122.30096,1695.0,0.0,2016-10-21
47.6041,-122.31848,1500.0,0.0,2016-10-21
47.62199,-122.32211,2875.0,2.0,2016-10-21
47.73403,-122.34289,1195.0,1.0,2016-10-21
47.6232,-122.36208,2895.0,2.0,2016-10-21
47.62351,-122.33181,1669.0,0.0,2016-10-21
47.4511,-122.353,2020.0,4.0,2016-10-21
47.6211,-122.35552,2555.0,2.0,2016-10-21
47.66506,-122.37869,1549.0,1.0,2016-10-21
47.61777,-122.3168,1050.0,0.0,2016-10-21
47.64735,-122.40743,5995.0,4.0,2016-10-21
47.44039,-122.32874,2195.0,4.0,2016-10-21
47.61412,-122.3375,2382.0,1.0,2016-10-21
47.57474,-122.28762,2795.0,3.0,2016-10-21
47.62118,-122.31675,1500.0,1.0,2016-10-21
47.73027,-122.2924,1915.0,2.0,2016-10-21
47.56025,-122.3829,2530.0,2.0,2016-10-21
47.61487,-122.34491,1725.0,1.0,2016-10-21
47.5594,-122.38412,1925.0,1.0,2016-10-21
47.61452,-122.34268,2110.0,1.0,2016-10-21
47.55695,-122.28613,1500.0,1.0,2016-10-21
47.61472,-122.31168,1345.0,0.0,2016-10-21
47.61446,-122.34056,5318.0,3.0,2016-10-21
47.52986,-122.34412,1850.0,2.0,2016-10-21
47.54254,-122.37775,2000.0,2.0,2016-10-21
47.61534,-122.29006,3805.0,1.0,2016-10-21
47.61525,-122.34986,1764.0,1.0,2016-10-21
47.66857,-122.37681,2066.0,1.0,2016-10-21
47.56285,-122.38536,1620.0,0.0,2016-10-21
47.61156,-122.32712,3505.0,2.0,2016-10-21
47.43084,-122.29338,1465.0,2.0,2016-10-21
47.66857,-122.37111,2695.0,2.0,2016-10-21
47.61156,-122.32712,2808.0,2.0,2016-10-21
47.47187,-122.34304,1895.0,,2017-01-12
47.61958,-122.31116,1675.0,,2017-01-12
47.62692,-122.35921,2018.0,,2017-01-12
47.67719,-122.29099,1399.0,,2017-01-12
47.62692,-122.35921,1913.0,,2017-01-12
47.66121,-122.31838,2142.0,,2017-01-17
47.6184,-122.32509,1695.0,,2017-01-17
47.67507,-122.31861,2280.0,,2017-01-31
47.47815,-122.34888,1245.0,,2017-01-31
47.61384,-122.35145,2000.0,,2017-01-31
47.61448,-122.3269,1904.0,,2017-01-31
47.65572,-122.34215,2850.0,,2017-01-31
47.65292,-122.34542,1250.0,,2017-01-31
47.6131,-122.31934,2713.0,,2017-01-31
47.6131,-122.31934,2890.0,,2017-01-31
47.6131,-122.31934,3090.0,,2017-01-31
47.6131,-122.31934,4910.0,,2017-01-31
47.62692,-122.35921,2244.0,,2017-01-31
47.69951,-122.31178,1200.0,,2017-01-31
47.57139,-122.625,900.0,,2017-01-31
47.62692,-122.35921,1924.0,,2017-01-31
47.44172,-122.28676,1055.0,,2017-01-31
47.49559,-122.33383,1496.0,,2017-02-01
47.61348,-122.34651,1719.0,,2017-02-01
47.6584,-122.31303,1795.0,,2017-02-01
47.61303,-122.31981,2205.0,,2017-02-01
47.6165,-122.35362,1462.0,,2017-02-01
47.61101,-122.30771,1883.0,,2017-02-01
47.61742,-122.34536,2179.0,,2017-02-01
47.56255,-122.38,1309.0,,2017-02-01
47.61356,-122.3377,1752.0,,2017-02-01
47.62671,-122.34166,3425.0,,2017-02-01
47.56325,-122.38496,1975.0,,2017-02-01
47.62427,-122.34236,2141.0,,2017-02-01
47.6217,-122.31175,2850.0,,2017-02-01
47.56202,-122.37736,1712.0,,2017-02-01
47.46105,-122.28338,1200.0,,2017-02-01
47.61524,-122.33993,3193.0,,2017-02-01
47.57391,-122.61957,1375.0,,2017-02-01
47.61525,-122.34986,1604.0,,2017-02-01
47.61384,-122.35145,2420.0,,2017-02-01
47.71222,-122.33396,1795.0,,2017-02-01
47.7193,-122.29511,1400.0,,2017-02-01
47.70696,-122.33727,2395.0,,2017-02-01
47.69766,-122.31749,465.0,,2017-02-01
47.61304,-122.32687,1055.0,,2017-02-01
47.613,-122.31403,1695.0,,2017-02-01
47.61314,-122.34955,2375.0,,2017-02-01
47.67719,-122.29099,1599.0,,2017-02-01
47.63607,-122.35686,1650.0,,2017-02-01
47.63325,-122.32501,1850.0,,2017-02-01
47.46698,-122.33059,1200.0,,2017-02-01
47.64614,-122.32505,990.0,,2017-02-01
47.67896,-122.32467,1930.0,,2017-02-01
47.63426,-122.34237,1905.0,,2017-02-01
47.55695,-122.28613,2370.0,,2017-02-01
47.5594,-122.38412,1795.0,,2017-02-01
47.67674,-122.37676,2405.0,,2017-02-01
47.56255,-122.38,1881.0,,2017-02-01
47.6576,-122.31978,1905.0,,2017-02-01
47.7193,-122.29511,1895.0,,2017-02-01
47.62417,-122.33299,1840.0,,2017-02-01
47.62417,-122.33299,2205.0,,2017-02-01
47.44172,-122.28676,1055.0,,2017-02-01
47.5606,-122.38556,1538.0,,2017-02-01
47.53186,-122.36053,1840.0,,2017-02-01
47.5594,-122.38412,2395.0,,2017-02-01
47.61472,-122.31168,1315.0,,2017-02-01
47.7193,-122.29511,1900.0,,2017-02-01
47.62004,-122.33051,2348.0,,2017-02-01
47.46105,-122.28338,1470.0,,2017-02-01
47.55998,-122.38753,2400.0,,2017-02-01
47.73904,-122.34371,1604.0,,2017-02-02
47.54283,-122.3613,1595.0,,2017-02-02
47.6131,-122.32541,1495.0,,2017-02-02
47.61559,-122.33264,1874.0,,2017-02-02
47.70748,-122.31792,1825.0,,2017-02-02
47.66707,-122.37654,2095.0,,2017-02-02
47.6114,-122.3305,575.0,,2017-02-02
47.620089,-122.356705,2300.0,2.0,2017-02-05
47.648071,-122.335745,1831.0,0.0,2017-02-05
47.648071,-122.335745,2217.0,1.0,2017-02-05
47.677325,-122.319947,1891.0,1.0,2017-02-05
47.635988,-122.342811,4175.0,3.0,2017-02-05
47.662167,-122.354705,1695.0,2.0,2017-02-05
47.677325,-122.319947,2008.0,1.0,2017-02-05
47.549629,-122.309855,3950.0,4.0,2017-02-05
47.667826,-122.382043,2740.0,2.0,2017-02-05
47.614721,-122.350343,2813.0,1.0,2017-02-05
47.56201,-122.381505,1975.0,1.0,2017-02-05
47.623095,-122.327004,1355.0,1.0,2017-02-05
47.674179,-122.318336,1595.0,2.0,2017-02-05
47.647765,-122.358236,1295.0,1.0,2017-02-05
47.647765,-122.358236,1595.0,2.0,2017-02-05
47.599225,-122.328914,1728.0,1.0,2017-02-05
47.599225,-122.328914,1828.0,1.0,2017-02-05
47.615346,-122.351279,2299.0,1.0,2017-02-05
47.647801,-122.357131,1895.0,1.0,2017-02-05
47.647801,-122.357131,1695.0,0.0,2017-02-05
47.592851,-122.307466,1845.0,1.0,2017-02-05
47.592851,-122.307466,1695.0,1.0,2017-02-05
47.692118,-122.303571,1100.0,0.0,2017-02-05
47.66506,-122.37869,1480.0,0.0,2017-02-05
47.61412,-122.3375,2140.0,0.0,2017-02-05
47.66518,-122.30323,1636.0,1.0,2017-02-05
47.66789,-122.38513,2045.0,1.0,2017-02-05
47.64767,-122.37876,1824.0,1.0,2017-02-05
47.53942,-122.39408,1450.0,1.0,2017-02-05
47.495835,-122.362161,1700.0,2.0,2017-02-05
47.61742,-122.34536,1743.0,0.0,2017-02-05
47.6185,-122.35499,1260.0,0.0,2017-02-05
47.66484,-122.353,2160.0,1.0,2017-02-05
47.64779,-122.378426,1923.0,1.0,2017-02-05
